Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage,Map
Roncesvalles,OCoT,"0048.00, 0049.00, 0051.00, 0052.00",15996,1.98,8079,-4.9,46820.00,21.9,22.7,Polish (4.4%),04.4% Polish,Ronces-to-map.jpg
Rosedale,OCoT,"0086.00, 0087.00",7672,2.72,2821,4.8,213941.00,11.3,11.9,Unspecified Chinese (1.0%),01.0% Unspecified Chinese,Rosedale map.PNG
Rouge,S,378.1,22724,28.72,791,175,29230.00,12.1,2.7,Tamil (15.6%),15.6% Tamil,
Rouge Hill,S,"0362.01, 0362.04",11167,3.88,2878,0.9,32858.00,13.5,8.6,Filipino (2.4%),02.4% Filipino,
Runnymede,Y,152,4382,0.85,5155,-3,42635.00,17.3,7.1,Ukrainian (2.2%),02.2% Ukrainian,
Scarborough Junction,S,"0342.00, 0343.00, 0344.01, 0344.02, 0345.00, 0346.01, 0347.00",25780,7.41,3479,-3.6,25405.00,18.2,15.7,Tamil (4.2%),04.2% Tamil,Scarborough Junction map.PNG
Scarborough City Centre,S,"0363.06, 0370.01",16403,2.58,6358,22.9,26756.00,14.6,15.6,Tamil (10.3%),10.3% Tamil,Scarborough City Centre map.PNG
Scarborough Village,S,"0331.03, 0332.00",12796,2.03,6303,-9,24413.00,16.2,22,Tamil (11.4%),11.4% Tamil,Scarborough Village map.PNG
Seaton Village,OCoT,93,5259,0.62,8482,-6,41506.00,19.1,17.3,Portuguese (5.0%),05.0% Portuguese,Seaton Village map.PNG
Silverthorn,Y,"0158.00, 0159.01, 0159.02, 0171.00, 0172.00",17757,3.52,5045,-3,26291.00,15.8,16.6,Portuguese (11.8%),11.8% Portuguese,Silverthorn map.PNG
Smithfield,E,"0248.02, 0248.04, 0248.05, 0249.01, 0249.04, 0249.05, 0250.04",34996,6.45,5426,-7.2,24387.00,12.8,12.7,Punjabi (11.8%),11.8% Punjabi,Smithfield map.png
South Hill,OCoT,"0117.00, 0119.00",6218,1.26,4935,-3.8,120453.00,16.1,29.8,French (1.0%),01.0% French,South Hill map.PNG
St. James Town,OCoT,65,14666,0.23,"63,765",-10,22341.00,27.4,46.2,Filipino (8.1%),08.1% Filipino,St James Town map.PNG
Steeles,S,"0376.04, 0376.05, 0376.09, 0376.13, 0376.14",24696,4.52,5464,1.9,26660.00,10.5,5.1,Cantonese (23.7%),23.7% Cantonese,Steeles map.PNG
Summerhill,OCoT,"0090.00, 0120.00",5100,0.65,7846,3,88937.00,17.5,24.1,Unspecified Chinese (1.1%),01.1% Unspecified Chinese,Summerhill map.PNG
Sunnylea,E,"0216.00, 0217.00, 0218.00, 0219.00",17602,5.23,3366,-1.1,51398.00,13,17.1,Polish (5.2%),05.2% Polish,
Swansea,OCoT,"0050.01, 0050.02",11133,3.76,2961,0.5,58681.00,18.3,12.8,Polish (3.0%),03.0% Polish,Swansea map.png
Tam O'Shanter – Sullivan,S,"0374.01, 0374.02, 0374.03, 0375.02, 0375.03, 0376.07",27235,5.44,5006,3.4,27717.00,12.2,15.3,Unspecified Chinese (12.6%),12.6% Unspecified Chinese,Tam O'Shanter-Sullivan map.PNG
The Annex,OCoT,"0091.01, 0091.02, 0092.00",15602,1.47,"10,614",-2.3,63636.00,22.1,41.9,Spanish (1.3%),01.3% Spanish,Annex local map.PNG
The Beaches,OCoT,"0020.00, 0021.00, 0022.00, 0023.00, 0024.00",20416,3.57,5719,7.8,67536.00,13.8,16.2,Cantonese (0.7%),00.7% Cantonese,Beaches map.png
The Danforth,OCoT,"83.00, 84.00",7849,0.87,9022,-1,44979.00,23.3,19,Greek (7.4%),07.4% Greek,The Danforth map.PNG
The Elms,E,"0244.01, 0244.02",9437,2.86,3300,-3.3,28014.00,12.6,13.7,Spanish (6.1%),06.1% Spanish,The Elms map.png
The Junction,OCoT,"0101.00, 0105.00, 0106.00",11391,2.36,4827,22.8,34906.00,18,17,Portuguese (4.1%),04.1% Portuguese,The Junction map.png
The Kingsway,E,"0226.00, 0227.00, 0228.00, 0229.00",8780,2.58,3403,7.9,110944.00,11.8,6.2,Ukrainian (1.8%),01.8% Ukrainian,Kingsway map.png
The Queensway,E,215,6207,2.62,2369,3,38944.00,12.9,9,Italian (4.1%),04.1% Italian,
Thistletown,E,"0250.01, 0250.02, 0250.05",16790,3.97,4229,1.4,28955.00,11.2,13.7,Punjabi (8.6%),08.6% Punjabi,Thistletown map.png
Thorncliffe Park,EY,"0194.01, 0194.02, 0194.03, 0194.04",17949,3.09,5809,9.1,25340.00,16.7,32.5,Urdu (21.5%),21.5% Urdu,Thorncliffe Park map.PNG
Toronto Islands,OCoT,2,627,3.17,198,-5,43344.00,18.3,5.6,None (0%),0% any,
Trinity–Bellwoods,OCoT,"0040.00, 0043.00",8687,0.92,9442,-3.1,31106.00,17.7,16.5,Portuguese (13.6%),13.6% Portuguese,Trinity-Bellwoods map.PNG
Upper Beaches,OCoT,"0025.00, 0077.00, 0078.00, 0079.00",19830,2.92,6791,0.5,44346.00,18.6,17.4,Cantonese (0.7%),00.7% Cantonese,Upper beaches map.PNG
Victoria Village,NY,"0261.00, 0262.01, 0262.02",17047,4.72,3612,2.5,29657.00,15.6,23.4,Urdu (3.2%),03.2% Urdu,Victoria Park Village map.PNG
Wallace Emerson,OCoT,"0097.01, 0097.02",10338,0.88,"11,748",-1.8,25029.00,22.8,23,Portuguese (19.2%),19.2% Portuguese,Wallace Emerson map.png
West Deane Park,E,234,4395,2.13,2063,1,41582.00,8.3,4.9,Ukrainian (2.3%),02.3% Ukrainian,
West Hill,S,"0358.01, 0358.02, 0358.03, 0359.00, 0360.00",25632,9.58,2676,-4.1,27936.00,14.6,14.7,Tamil (3.0%),03.0% Tamil,West Hill map.png
West Rouge,S,"0802.01, 0802.02",9300,4.45,2090,-1.8,44605.00,14.1,0.8,Cantonese (2.8%),02.8% Cantonese,West Rouge map.PNG
Westminster,NY,"0317.02, 0317.03, 0317.04",16386,2.37,6914,0.8,27826.00,14.6,23.4,Russian (31.4%),31.4% Russian,Westminster Branson.png
Westmount,E,240.02,5857,1.04,5932,5,35183.00,9.6,23.4,Ukrainian (10.6%),10.6% Ukrainian,
Weston,Y,"0175.01, 0175.02, 0176.00",16476,2.51,6564,-5.6,27446.00,15.5,26.5,Spanish (7.0%),07.0% Spanish,Weston map.png
Wexford,S,"0349.00, 0350.00, 0371.00",17844,7.97,2239,-3.2,28556.00,14,15.1,Filipino (4.5%),04.5% Filipino,Wexford map.PNG
Willowdale,NY,"0300.00, 0306.01, 0306.02, 0307.02, 0308.01, 0308.02",43144,7.68,5618,62.3,39895.00,15.6,12.9,Cantonese (7.9%),07.9% Cantonese,Willowdale map.PNG
Wilson Heights,NY,"0288.00, 0297.02",13732,4.14,3317,1.9,37978.00,15.9,18,Filipino (6.2%),06.2% Filipino,
Woburn,S,"0356.00, 0357.01, 0357.02, 0363.07, 0364.01, 0364.02, 0365.00, 0366.00, 0367.01",48507,13.34,3636,-1.5,26190.00,13.3,16,Gujarati (9.1%),09.1% Gujarati,Woburn map.PNG
Wychwood,OCoT,116,4182,0.68,6150,-2,53613.00,17.1,20.1,Portuguese (2.7%),02.7% Portuguese,Wychwood Park map.PNG
York Mills,NY,"0273.01, 0273.02, 0274.01, 0274.02",17564,7.29,2409,2,92099.00,10,11.8,Korean (4.0%),04.0% Korean,York Mills map.PNG
York University Heights,NY,"0311.02, 0311.03, 0311.04, 0311.05, 0311.06",26140,13.21,1979,-1.2,24432.00,15.2,20.4,Italian (6.6%),06.6% Italian,York University Heights map.PNG
Yorkville,OCoT,"0088.00, 0089.00",6045,0.56,"10,795",62.6,105239.00,18.3,27.9,French (1.9%),01.9% French,Yorkville map.PNG
